what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350480313225
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350480313482
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350480313632
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350480313848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480313897
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1350480322363
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1350480322470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480322667
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1350480322964
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1350480323121
error,log,,,"Unhandled event loop exception",1350480324309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480324334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480339091
error,log,,,"Unhandled event loop exception",1350480349766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480349789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480352256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480353636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480408187
error,log,,,"Unhandled event loop exception",1350480409823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480409848
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350480418837
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350480421542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480425698
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350480428776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480428803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480431233
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350480432055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480432081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480433486
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350480434538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480434566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480435395
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350480436350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480436376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480437232
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350480438618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480438646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480439521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480441155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480446736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480448323
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1350480448361
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350480457020
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350480458596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480466724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480468910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480471384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350480471775
